# ETF 구성종목(PDF) 수집 대상 목록  —  `코드<TAB>이름`, `#`은 주석
#
# KRX 정보데이터시스템의 PDF(Portfolio Deposit File)를 이 목록에 대해서만 받는다.
# 국내 상장 ETF는 900개가 넘어 전부 받으면 과거 소급이 수십 시간이 되므로,
# 실제로 쓰는 것만 적어 둔다. 전부 받으려면 `--all`을 준다.
#
# 이 목록은 capybara-dance/leverage 의 섹터 RS 돌파 전략이 쓰는 섹터 ETF다.
# 다른 용도가 생기면 줄을 추가하면 된다.
0001P0	마이티 바이오시밀러&CDMO액티브
0008T0	SOL 화장품TOP3플러스
0088N0	WON K-글로벌수급상위
0092B0	SOL 한국원자력SMR
0101N0	RISE AI전력인프라
069500	KODEX 200
091160	KODEX 반도체
091180	KODEX 자동차
102970	KODEX 증권
139220	TIGER 200 건설
139270	TIGER 200 금융
140710	KODEX 운송
147970	TIGER 모멘텀
157490	TIGER 소프트웨어
227540	TIGER 200 헬스케어
228790	TIGER 화장품
261070	TIGER 코스닥150바이오테크
305720	KODEX 2차전지산업
307520	TIGER 지주회사
364990	TIGER 게임TOP10
365000	TIGER 인터넷TOP10
388280	RISE K엔터&여행레저
421320	PLUS 우주항공&UAM
433500	ACE 원자력TOP10
444200	SOL 코리아메가테크액티브
445290	KODEX 로봇액티브
449450	PLUS K방산
463050	TIME K바이오액티브
464600	SOL 자동차소부장Fn
464610	SOL 의료기기소부장Fn
466920	SOL 조선TOP3플러스
475050	ACE KPOP포커스
475300	SOL 반도체전공정
475310	SOL 반도체후공정
479850	HANARO K-뷰티
483020	KIWOOM 의료AI
487240	KODEX AI전력핵심설비
494330	ACE 라이프자산주주가치액티브
